11402372   20230522328734550001081    20        45164     9BG144DK0PC4488234  035LEVYE20             999900000000001402372                                 0100000000000021736510000000000000000000000000000000000000000000000022843800000000000000000000000000000000000000000000000000000000
12593319   20230510000065397704211    20070     45202     9BGEP76B0RB1068224  035RFREIRE             999900000000002593319                                 0100000000000011235510000000000000000000000000000000000000000000000011721800000000000000000000000000000000000000000000000000000000
12603557   20230530430545590001071    20070     45202     9BGEP76B0RB1140874  035EDMILSON            999900000000002603557                                 0100000000000014155892000000000000000000000000000000000000000000000014801150000000000000000000000000000000000000000000000000000000
1483918    20230512000462808399151    20070     45122     8AGEP76B0PR1351524  035ALLANY              4   0000000677483918                                  0000000000000016442150000000000015409000000000000000000000000000000016459000000000000000000000000000000000000000000000000000000000
1485411    20230529000929088537871    20070     45116     8AGEB76H0PR1389394  035RAISSE20            4   0000000677485411                                  0000000000000012716778000000000012429000000000000000000000000000000012700000000000000000000000000000000000000000000000000000000000
1485655    20230531000017640734011    20270     45147     9BGEY43B0PB2557804  035JAMESD              4   0000000677485655                                  0000000000000014932356000000000014700000000000000000000000000000000014700000000000000000000000000000000000000000000000000000000000
1484899    20230522000123567194151    20270     45146     9BGEN43B0PB2530384  035LUANE20             4   0000000680484899                                  0000000000000013882417000000000013505000000000000000000000000000000013600000000000000000000000000000000000000000000000000000000000
12592483   20230522182083150001941    20270     45146     9BGEN43B0PB2529194  035EDMILSON            999900000000002592483                                 0100000000000012224556000000000000000000000000000000000000000000000012736480000000000000000000000000000000000000000000000000000000
1483699    20230510000044620004201    20270     45155     9BGEB43B0PB2474384  035LILIAE20            4   0000000680483699                                  0000000000000013065502000000000013000000000000000000000000000000000013095000000000000000000000000000000000000000000000000000000000
1485724    20230531000638498954911    20270     45146     9BGEN43B0PB2555434  035LILIANEP            4   0000001966485724                                  0000000000000014779195000000000014504000000000000000000000000000000014699000000000000000000000000000000000000000000000000000000000
1483965    20230512000785934924871    20270     45146     9BGEN43B0PB2319174  035IVES                4   0000000676483965                                  0000000000000014381146000000000014255000000000000000000000000000000014450000000000000000000000000000000000000000000000000000000000
1484795    20230522000196000549911    20270     45147     9BGEY43B0PB2554384  035FRANCISCLE          4   0000000676484795                                  0000000000000014383870000000000014049000000000000000000000000000000014799000000000000000000000000000000000000000000000000000000000
1483651    20230510000036758844731    20270     45146     9BGEN43B0PB2539504  035JAMESD              4   0000000676483651                                  0000000000000012870931000000000013500000000000000000000000000000000013500000000000000000000000000000000000000000000000000000000000
1485090    20230524000034773494401    20270     45147     9BGEY43B0PB2539224  035DIRETORIA           4   0000000680485090                                  0000000000000014021332000000000013209251000000000000000000000000000013404251000000000000000000000000000000000000000000000000000000
1484462    20230518000721135024531    20270     45147     9BGEY43B0PB2538924  035LUANE20             4   0000000677484462                                  0000000000000014873195000000000014049000000000000000000000000000000015000000000000000000000000000000000000000000000000000000000000
1485495    20230529000118055387051    20270     45155     9BGEB43B0PB2443754  035CONCEICAO           4   0000000677485495                                  0000000000000013067398000000000012204000000000000000000000000000000012999000000000000000000000000000000000000000000000000000000000
1484443    20230518000357890264001    20270     45147     9BGEY43B0PB2547674  035JAMESD              4   0000000680484443                                  0000000000000014347950000000000014500000000000000000000000000000000014695000000000000000000000000000000000000000000000000000000000
12597243   20230516240619810001451    20270     45146     9BGEN43B0PB2531284  035EDMILSON            999900000000002597243                                 0100000000000011906304000000000000000000000000000000000000000000000012438320000000000000000000000000000000000000000000000000000000
12598402   20230522000050101234601    40320     45198     9BGJP7520RB1087934  035RFREIRE             999900000000002598402                                 0100000000000009281020000000000000000000000000000000000000000000000009585600000000000000000000000000000000000000000000000000000000
12598442   20230522000034626864881    40320     45198     9BGJP7520RB1080084  035RFREIRE             999900000000002598442                                 0100000000000009225385000000000000000000000000000000000000000000000009585600000000000000000000000000000000000000000000000000000000
12603488   20230525000254627414721    40320     45198     9BGJP7520RB1110674  035RFREIRE             999900000000002603488                                 0100000000000009281020000000000000000000000000000000000000000000000009585600000000000000000000000000000000000000000000000000000000
12597233   20230516128016010001821    40320     45198     9BGJP7520RB1089534  035EDMILSON            999900000000002597233                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12602124   20230530128016010001821    40320     45198     9BGJP7520RB1124834  035EDMILSON            999900000000002602124                                 0100000000000010748525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12598403   20230518000875302364151    40320     45198     9BGJP7520RB1085684  035RFREIRE             999900000000002598403                                 0100000000000009206120000000000000000000000000000000000000000000000009585600000000000000000000000000000000000000000000000000000000
12597110   20230510000099531184691    40320     45198     9BGJP7520RB1088474  035RFREIRE             999900000000002597110                                 0100000000000009281020000000000000000000000000000000000000000000000009585600000000000000000000000000000000000000000000000000000000
12596739   20230518128016010001821    40320     45198     9BGJP7520RB1065694  035EDMILSON            999900000000002596739                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596740   20230518128016010001821    40320     45198     9BGJP7520RB1065054  035EDMILSON            999900000000002596740                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596733   20230518128016010001821    40320     45198     9BGJP7520RB1088404  035EDMILSON            999900000000002596733                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596734   20230518128016010001821    40320     45198     9BGJP7520RB1088334  035EDMILSON            999900000000002596734                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596736   20230518128016010001821    40320     45198     9BGJP7520RB1088244  035EDMILSON            999900000000002596736                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596735   20230518128016010001821    40320     45198     9BGJP7520RB1066974  035EDMILSON            999900000000002596735                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596737   20230518128016010001821    40320     45198     9BGJP7520RB1066574  035EDMILSON            999900000000002596737                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596738   20230518128016010001821    40320     45198     9BGJP7520RB1066014  035EDMILSON            999900000000002596738                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12597234   20230518128016010001821    40320     45198     9BGJP7520RB1088844  035EDMILSON            999900000000002597234                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596725   20230517128016010001821    40320     45198     9BGJP7520RB1063854  035EDMILSON            999900000000002596725                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596728   20230516128016010001821    40320     45198     9BGJP7520RB1062974  035EDMILSON            999900000000002596728                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596727   20230516128016010001821    40320     45198     9BGJP7520RB1063374  035EDMILSON            999900000000002596727                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596726   20230516128016010001821    40320     45198     9BGJP7520RB1063544  035EDMILSON            999900000000002596726                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596724   20230516128016010001821    40320     45198     9BGJP7520RB1064334  035EDMILSON            999900000000002596724                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596732   20230516128016010001821    40320     45198     9BGJP7520RB1088544  035EDMILSON            999900000000002596732                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596731   20230516128016010001821    40320     45198     9BGJP7520RB1088934  035EDMILSON            999900000000002596731                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596730   20230516128016010001821    40320     45198     9BGJP7520RB1089144  035EDMILSON            999900000000002596730                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12596729   20230516128016010001821    40320     45198     9BGJP7520RB1089374  035EDMILSON            999900000000002596729                                 0100000000000010698525000000000000000000000000000000000000000000000010796490000000000000000000000000000000000000000000000000000000
12597109   20230511000066974754801    40320     45198     9BGJP7520RB1066894  035RFREIRE             999900000000002597109                                 0100000000000009281020000000000000000000000000000000000000000000000009585600000000000000000000000000000000000000000000000000000000
12597111   20230511000106137564101    40320     45198     9BGJP7520RB1067214  035RFREIRE             999900000000002597111                                 0100000000000009206120000000000000000000000000000000000000000000000009585600000000000000000000000000000000000000000000000000000000
14154312   20230515000061389904041    40321     45195     9BGEN69H0RG1010694  035RFREIRE             999900000000004154312                                 0100000000000008290985000000000000000000000000000000000000000000000008622300000000000000000000000000000000000000000000000000000000
1485545    20230530000099433524501    40321     45175     9BGEY48H0RG1131784  035FRANCISCLE          4   0000000676485545                                  0000000000000011808460000000000011510000000000000000000000000000000011600000000000000000000000000000000000000000000000000000000000
14157874   20230530000792389714041    40321     45183     9BGEB69H0RG1141304  035RFREIRE             999900000000004157874                                 0100000000000008131463000000000000000000000000000000000000000000000008442500000000000000000000000000000000000000000000000000000000
1485613    20230530000282553214201    40321     45178     9BGEY69H0RG1272504  035ALLANY              4   0000000680485613                                  0000000000000011933076000000000011713800000000000000000000000000000011713800000000000000000000000000000000000000000000000000000000
1484128    20230515000059048324271    40321     44637     9BGEB48A0PG3007794  035MARCINE20           4   0000000677484128                                  0000000000000009792677000000000008895000000000000000000000000000000009399000000000000000000000000000000000000000000000000000000000
1485173    20230525000664042664151    40321     44631     9BGEB48A0PG3007904  035IZAU                4   0000000676485173                                  0000000000000008752192000000000007981000000000000000000000000000000008599000000000000000000000000000000000000000000000000000000000
14163372   20230529000182638874531    40321     45173     9BGEN48H0RG1235574  035RFREIRE             999900000000004163372                                 0100000000000008403266000000000000000000000000000000000000000000000008616300000000000000000000000000000000000000000000000000000000
1484060    20230515000884494837001    40321     44624     9BGEN48H0PG3061674  035POLLYANA            4   0000000680484060                                  0000000000000010323050000000000010014000000000000000000000000000000010099000000000000000000000000000000000000000000000000000000000
1485088    20230524000876407674151    40321     44625     9BGEY48H0PG3085114  035ALEXSANDRA          4   0000000677485088                                  0000000000000011622888000000000011089000000000000000000000000000000011400000000000000000000000000000000000000000000000000000000000
1485654    20230531000082108074121    40321     44637     9BGEB48A0PG2860004  035RAISSE20            4   0000000677485654                                  0000000000000009056260000000000008595000000000000000000000000000000008899000000000000000000000000000000000000000000000000000000000
1485064    20230524000026162314171    40321     44637     9BGEB48A0PG2859374  035POLLYANA            4   0000000677485064                                  0000000000000008787638000000000008379000000000000000000000000000000008599000000000000000000000000000000000000000000000000000000000
14159767   20230522000311809734531    40321     45182     9BGEA48H0PG2964064  035LEVYE20             999900000000004159767                                 0100000000000007841177000000000000000000000000000000000000000000000008354200000000000000000000000000000000000000000000000000000000
1483388    20230508000702789034871    40321     44623     9BGEA48A0PG3060784  035RAISSE20            4   0000000677483388                                  0000000000000008394295000000000007914000000000000000000000000000000007999000000000000000000000000000000000000000000000000000000000
1485612    20230530000048006284661    40321     44631     9BGEB48A0PG3074644  035PAULOE20            4   0000000677485612                                  0000000000000008917146000000000008242000000000000000000000000000000008700000000000000000000000000000000000000000000000000000000000
1485614    20230530000028660094361    40321     45178     9BGEY69H0RG1297104  035ALTEME20            4   0000000680485614                                  0000000000000012727702000000000012149000000000000000000000000000000012400000000000000000000000000000000000000000000000000000000000
1485476    20230529000230985114001    40321     45175     9BGEY48H0RG1163494  035JAMESD              4   0000000677485476                                  0000000000000011611758000000000011135000000000000000000000000000000011300000000000000000000000000000000000000000000000000000000000
1484901    20230522000005675568671    40321     45176     9BGEB48H0RG1165254  035AUDAN               4   0000001966484901                                  0000000000000010574459000000000010335000000000000000000000000000000010500000000000000000000000000000000000000000000000000000000000
1485215    20230526000063015764201    40321     45195     9BGEN69H0RG1268604  035JONATHAS            4   0000001966485215                                  0000000000000011448739000000000011185000000000000000000000000000000011350000000000000000000000000000000000000000000000000000000000
1485472    20230529000038170004641    40321     44631     9BGEB48A0PG2956594  035JONATHAS            4   0000000677485472                                  0000000000000008926933000000000008056000000000000000000000000000000008599000000000000000000000000000000000000000000000000000000000
1483833    20230511000466666994911    40321     44637     9BGEB48A0PG3087354  035WILLDE20            4   0000002003483833                                  0000000000000008552992000000000007869000000000000000000000000000000008164000000000000000000000000000000000000000000000000000000000
1485195    20230525000490476204531    40321     44631     9BGEB48A0PG3023634  035ALLANY              4   0000000677485195                                  0000000000000009165246000000000008642000000000000000000000000000000009100000000000000000000000000000000000000000000000000000000000
1485244    20230526000011718684801    40321     44631     9BGEB48A0PG3000554  035PAULOE20            4   0000000677485244                                  0000000000000009692892000000000008595000000000000000000000000000000009400000000000000000000000000000000000000000000000000000000000
1484239    20230516000369363404151    40321     44637     9BGEB48A0PG2667394  035LUANE20             4   0000000680484239                                  0000000000000009082419000000000008524000000000000000000000000000000008744000000000000000000000000000000000000000000000000000000000
1485477    20230529000036322304551    40321     44631     9BGEB48A0PG2998604  035RAISSE20            4   0000000676485477                                  0000000000000008644922000000000008057000000000000000000000000000000008600000000000000000000000000000000000000000000000000000000000
14145643   20230510000086064044201    40321     44629     9BGEY69H0PG2912514  035RFREIRE             999900000000004145643                                 0100000000000008450935000000000000000000000000000000000000000000000008747300000000000000000000000000000000000000000000000000000000
1485593    20230530000058743064801    40321     44631     9BGEB48A0PG2956634  035CONCEICAO           4   0000000680485593                                  0000000000000008722807000000000008041000000000000000000000000000000008584000000000000000000000000000000000000000000000000000000000
1485618    20230530000055956784701    40321     44631     9BGEB48A0PG2982474  035LILIAE20            4   0000000680485618                                  0000000000000008626793000000000007942000000000000000000000000000000008400000000000000000000000000000000000000000000000000000000000
1485695    20230531000100870504711    40321     44631     9BGEB48A0PG2982514  035IZAU                4   0000000677485695                                  0000000000000009252185000000000008407000000000000000000000000000000008865000000000000000000000000000000000000000000000000000000000
1485449    20230529000106378154081    40321     44631     9BGEB48A0PG2982524  035ALLANY              4   0000000677485449                                  0000000000000008451592000000000007692000000000000000000000000000000008150000000000000000000000000000000000000000000000000000000000
1484878    20230522000084432944421    40321     44631     9BGEB48A0PG2982774  035LUANE20             4   0000000676484878                                  0000000000000008666617000000000007852000000000000000000000000000000008310000000000000000000000000000000000000000000000000000000000
1484904    20230522000047810344111    40321     44637     9BGEB48A0PG2982604  035LILIAE20            4   0000000677484904                                  0000000000000008584121000000000008164000000000000000000000000000000008299000000000000000000000000000000000000000000000000000000000
1484649    20230519000702206934471    40321     44631     9BGEB48A0PG2982584  035ALTEME20            4   0000000677484649                                  0000000000000009382054000000000008941000000000000000000000000000000009399000000000000000000000000000000000000000000000000000000000
1484525    20230518000087500798831    40321     44636     9BGEN69H0PG2577924  035MARCINE20           4   0000000680484525                                  0000000000000011987373000000000011454000000000000000000000000000000011614000000000000000000000000000000000000000000000000000000000
1485525    20230530000098221354911    40321     44631     9BGEB48A0PG3060804  035LUANE20             4   0000000677485525                                  0000000000000008755850000000000008047000000000000000000000000000000008590000000000000000000000000000000000000000000000000000000000
14155623   20230517000751083804531    40321     45195     9BGEN69H0RG1138414  035RFREIRE             999900000000004155623                                 0100000000000008290985000000000000000000000000000000000000000000000008622300000000000000000000000000000000000000000000000000000000
1483197    20230505000165795674141    40321     44623     9BGEA48A0PG2914564  035CONCEICAO           4   0000000676483197                                  0000000000000004500670000000000007915000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000
1484893    20230522000039614024691    40321     44631     9BGEB48A0PG2996364  035DIRETORIA           4   0000000673484893                                  0000000000000008947277000000000008007000000000000000000000000000000008699000000000000000000000000000000000000000000000000000000000
14158323   20230511000008286724071    40321     45178     9BGEY69H0RG1137424  035RFREIRE             999900000000004158323                                 0100000000000008849665000000000000000000000000000000000000000000000009136700000000000000000000000000000000000000000000000000000000
1484902    20230522000019714004161    40321     44631     9BGEB48A0PG2970094  035WILLDE20            4   0000000677484902                                  0000000000000008848079000000000008181000000000000000000000000000000008799000000000000000000000000000000000000000000000000000000000
1484651    20230519000000569064121    120333    124975    9BGJP7520LB1249304  035PEDROH              9   0000000680484651                                  1000000000000007799017000000000008013000000000000000000000000000000008013000000000000000000000000000000000080130000000000000000000
1484240    20230516000105721004851    120333    124478    9BGJC7520JB2416604  035PEDROH              9   0000000677484240                                  1000000000000007268041000000000007799000000000000000000000000000000007799000000000000000000000000000000000077990000000000000000000
1485122    20230525000119977394881    120333    124417    8AGSU19F0ER1681654  035GERENTE_E           9   0000000676485122                                  1000000000000001969854000000000002150000000000000000000000000000000002150000000000000000000000000000000000021500000000000000000000
1485784    20230531000105166984781    120333    124424    9BGKS69R0GG2525804  035GERENTE_E           9   0000000676485784                                  1000000000000003923797000000000003600000000000000000000000000000000003600000000000000000000000000000000000036000000000000000000000
1483653    20230510000373654588601    120333    124477    3GNCJ8EW3FL2425504  035GERENTE_E           9   0000000676483653                                  1000000000000004910165000000000004900000000000000000000000000000000004900000000000000000000000000000000000029400000000000000000000
1          20230526000723002480341    120333    995146    1G1F91R74J01545344  035PAMELAA             99990000000000                                        0000000000000029600000000000000030000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000
1483713    20230510000036019834191    120333    124418    9BGKL69U0KG3417744  035ANAC                9   0000000673483713                                  1000000000000004812604000000000005400000000000000000000000000000000005400000000000000000000000000000000000054000000000000000000000
1484529    20230518000357631488191    120333    125066    9BG148LK0EC4263204  035LAERTE              9   0000000676484529                                  1000000000000009830387000000000010000000000000000000000000000000000010000000000000000000000000000000000000060000000000000000000000
1485568    20230530000413241704251    120333    124404    9BGKL48U0JB1578754  035ANAC                9   0000000677485568                                  1000000000000004151870000000000004599000000000000000000000000000000004599000000000000000000000000000000000045990000000000000000000
1485307    20230526000056776874051    120333    125534    9BGEP69H0LG2348954  035FRANCISCO           9   0000000677485307                                  1000000000000008977473000000000008712521000000000000000000000000000008712521000000000000000000000000000000087125000000000000000000
1485673    20230531000199249414201    120333    125485    9BGEB76H0NB1131954  035CARLOSL             9   0000000677485673                                  1000000000000010171890000000000010300000000000000000000000000000000010300000000000000000000000000000000000103000000000000000000000
1485451    20230529000708747884201    120333    124608    3GNDJ8CZ8JL3581434  035ANAC                9   0000000680485451                                  1000000000000008448064000000000007499000000000000000000000000000000007612521000000000000000000000000000000076125000000000000000000
1485588    20230530000025335227401    120333    124815    3GNAX9EX9KS5506824  035PAMELAA             9   0000000676485588                                  1000000000000013344160000000000013000000000000000000000000000000000013000000000000000000000000000000000000078000000000000000000000
1483919    20230512000041293897931    120333    124608    3GNDJ8CZ1KL2741344  035PAMELAA             9   0000000680483919                                  1000000000000008698072000000000008999000000000000000000000000000000008999000000000000000000000000000000000089990000000000000000000
1484528    20230518000056247814071    120333    125534    9BGEP69H0LG2624854  035FRANCISCO           9   0000000676484528                                  1000000000000008136157000000000008368400000000000000000000000000000008368400000000000000000000000000000000083684000000000000000000
1485780    20230531000035602494651    120333    124881    9BGEY69H0MG1491744  035WENDELLD            9   0000000677485780                                  1000000000000008318398000000000008300000000000000000000000000000000008300000000000000000000000000000000000083000000000000000000000
1483379    20230508000024941793601    120333    124805    8AGBB68S0JR1323894  035ANAC                9   0000001966483379                                  1000000000000008082774000000000008000000000000000000000000000000000008000000000000000000000000000000000000048000000000000000000000
1484272    20230516000629169809971    120333    124532    9BGJB69X0DB1668774  035NATAN               9   0000000677484272                                  1000000000000005434464000000000005500000000000000000000000000000000005500000000000000000000000000000000000055000000000000000000000
1484906    20230522000065565174881    120333    125195    9BGEN76B0MB1304334  035WENDELLD            9   0000000677484906                                  1000000000000010020338000000000010800000000000000000000000000000000010800000000000000000000000000000000000108000000000000000000000
1484876    20230522000025203724351    120333    124730    3GNCJ8CZ2KL1716074  035PAMELAA             9   0000000677484876                                  1000000000000008666018000000000009068400000000000000000000000000000009068400000000000000000000000000000000090684000000000000000000
1483045    20230503343362070001531    120333    125159    9BGEP76B0MB1085504  035GERENTE_E           9   0000000677483045                                  1000000000000011375245000000000010500000000000000000000000000000000010500000000000000000000000000000000000094500000000000000000000
1485196    20230525000036768054881    120333    125346    9BGEY48H0LG2918104  035DIRETORIA           9   0000000680485196                                  1000000000000009552030000000000009500000000000000000000000000000000009500000000000000000000000000000000000095000000000000000000000
1485450    20230529000018299604231    120333    124567    9BGJB6930GB1652664  035LAERTE              9   0000000677485450                                  1000000000000004966424000000000004999000000000000000000000000000000005600000000000000000000000000000000000056000000000000000000000
1485127    20230525304546570001901    120333    124413    9BGKS48U0KG4824504  035NATAN               9   0000000673485127                                  1000000000000005480733000000000005500000000000000000000000000000000005500000000000000000000000000000000000055000000000000000000000
1484122    20230515000008064834741    120333    124608    3GNDJ8CZ2JL4013744  035FRANCISCO           9   0000000666484122                                  1000000000000007211443000000000007200000000000000000000000000000000007200000000000000000000000000000000000072000000000000000000000
1485770    20230531000046413434031    120333    124404    9BGKL48U0JB1500254  035ANAC                9   0000000676485770                                  1000000000000004540194000000000004400000000000000000000000000000000004400000000000000000000000000000000000044000000000000000000000
1          20230518000091624874771    120333    124577    8AGBN69S0KR1028234  035GERENTE_E           99990000000000                                        0000000000000006573000000000000007300000000000000000000000000000000007300000000000000000000000000000000000000000000000000000000000
1484892    20230522000035098244901    120333    124524    8AGCN48X0BR2703564  035GERENTE_E           9   0000000676484892                                  1000000000000001751352000000000002000000000000000000000000000000000002000000000000000000000000000000000000020000000000000000000000
1484384    20230517000008296124751    120333    125597    3GNAX9EX8LS5239614  035PEDROH              9   0000000680484384                                  1000000000000022350263000000000015090000000000000000000000000000000015090000000000000000000000000000000000150900000000000000000000
1484898    20230522000058457554842    120341    995386    99ABJ68U4K40007564  035GERENTE_E           9   0000000676484898                                  1000000000000011264004000000000011800000000000000000000000000000000011800000000000000000000000000000000000118000000000000000000000
1484082    20230515000011476558802    120337    124576    98867512WJKJ168504  035CARLOSL             9   0000000676484082                                  1000000000000008714301000000000009100000000000000000000000000000000009100000000000000000000000000000000000091000000000000000000000
1484058    20230515020599790001072    120336    124929    JSAJTE54VF42009624  035GERENTE_E           9   0000000676484058                                  1000000000000004517745000000000004360000000000000000000000000000000004360000000000000000000000000000000000026160000000000000000000
1483810    20230511395568820001013    20148     125300    9BFZH55S0M80702944  035GERENTE_E           9   0000000676483810                                  1000000000000013477867000000000005200000000000000000000000000000000005200000000000000000000000000000000000052000000000000000000000
1485198    20230525000700358484053    20148     124412    9BFZD55P1EB6589134  035PEDROH              9   0000000680485198                                  1000000000000003316546000000000003663000000000000000000000000000000003663000000000000000000000000000000000036630000000000000000000
1483289    20230505000346893298773    20148     995393    9BFZB55S7K87095134  035GERENTE_E           9   0000000676483289                                  1000000000000005975187000000000005650000000000000000000000000000000005650000000000000000000000000000000000033900000000000000000000
1484644    20230519000875619644043    20148     124959    9BFZB55S5L88005694  035ULISSES             9   0000000680484644                                  1000000000000008298095000000000008656600000000000000000000000000000008656600000000000000000000000000000000086566000000000000000000
1485527    20230530000096387414493    20148     124806    9BFZB55S9K87150854  035WENDELLD            9   0000000680485527                                  1000000000000005797790000000000006000000000000000000000000000000000006000000000000000000000000000000000000060000000000000000000000
1485535    20230530000336008054873    20148     124746    9BFZB55SXJ86966884  035NATAN               9   0000000680485535                                  1000000000000006097006000000000006500000000000000000000000000000000006500000000000000000000000000000000000065000000000000000000000
1485478    20230529000597185604913    20148     995353    9BFZB55H3F89650614  035ANAC                9   0000001966485478                                  1000000000000006065134000000000005000000000000000000000000000000000005000000000000000000000000000000000000050000000000000000000000
1484660    20230519000079820774475    120334    124646    WV1DB22HXMA0320344  035LAERTE              9   0000000676484660                                  1000000000000023198524000000000019500000000000000000000000000000000019500000000000000000000000000000000000195000000000000000000000
1482941    20230503000051676034396    20149     124594    9BD197132D30070994  035GERENTE_E           9   0000000676482941                                  1000000000000002038550000000000002050000000000000000000000000000000002050000000000000000000000000000000000018450000000000000000000
1485272    20230526000017261684096    20149     124485    9BD358A4NLYJ916684  035GERENTE_E           9   0000000676485272                                  1000000000000003990150000000000004350000000000000000000000000000000004350000000000000000000000000000000000043500000000000000000000
